# time = 1000
#  1_posUnif        2_uvel_mean        3_uvel_rmsf
 7.50000E-01  1.42978E+01  1.96241E+00
 7.55556E-01  1.42305E+01  1.96333E+00
 7.61111E-01  1.41615E+01  1.96499E+00
 7.66667E-01  1.40905E+01  1.96703E+00
 7.72222E-01  1.40177E+01  1.96917E+00
 7.77778E-01  1.39431E+01  1.97119E+00
 7.83333E-01  1.38664E+01  1.97289E+00
 7.88889E-01  1.37878E+01  1.97417E+00
 7.94444E-01  1.37071E+01  1.97524E+00
 8.00000E-01  1.36240E+01  1.97629E+00
 8.05556E-01  1.35384E+01  1.97711E+00
 8.11111E-01  1.34504E+01  1.97770E+00
 8.16667E-01  1.33597E+01  1.97774E+00
 8.22222E-01  1.32662E+01  1.97704E+00
 8.27778E-01  1.31700E+01  1.97561E+00
 8.33333E-01  1.30708E+01  1.97316E+00
 8.38889E-01  1.29683E+01  1.96908E+00
 8.44444E-01  1.28624E+01  1.96282E+00
 8.50000E-01  1.27524E+01  1.95431E+00
 8.55556E-01  1.26379E+01  1.94336E+00
 8.61111E-01  1.25183E+01  1.92960E+00
 8.66667E-01  1.23925E+01  1.91249E+00
 8.72222E-01  1.22594E+01  1.89147E+00
 8.77778E-01  1.21175E+01  1.86664E+00
 8.83333E-01  1.19646E+01  1.83815E+00
 8.88889E-01  1.17983E+01  1.80644E+00
 8.94444E-01  1.16152E+01  1.77246E+00
 9.00000E-01  1.14115E+01  1.73833E+00
 9.05556E-01  1.11826E+01  1.70704E+00
 9.11111E-01  1.09236E+01  1.68157E+00
 9.16667E-01  1.06291E+01  1.66437E+00
 9.22222E-01  1.02939E+01  1.65688E+00
 9.27778E-01  9.91287E+00  1.65810E+00
 9.33333E-01  9.48107E+00  1.66434E+00
 9.38889E-01  8.99403E+00  1.66971E+00
 9.44444E-01  8.44806E+00  1.66653E+00
 9.50000E-01  7.84019E+00  1.64596E+00
 9.55556E-01  7.16889E+00  1.59920E+00
 9.61111E-01  6.43434E+00  1.51851E+00
 9.66667E-01  5.63890E+00  1.39831E+00
 9.72222E-01  4.78736E+00  1.23632E+00
 9.77778E-01  3.88711E+00  1.03424E+00
 9.83333E-01  2.94662E+00  7.97942E-01
 9.88889E-01  1.97869E+00  5.38263E-01
 9.94444E-01  9.94138E-01  2.69442E-01
 1.00000E+00  1.32420E-21  1.48468E-17
